(Product_Usage[UserID] (1 month unique count)) DIVIDED BY (Product_Usage[UserID] (180 days unique count)),ARR,Annual_Revenue,CSAT[Customer_Review] (latest),CSAT[Net_Promoter_Score] (latest),City,Contract_Duration,Customers[ARR] (5 years avg),Customers[ARR] (latest),Customers[Contract_Duration] (5 years most frequent),Customers[Contract_Duration] (5 years unique count),Customers[Contract_Duration] (latest),Customers[Products_Purchased] (5 years count of business_essentials),Customers[Products_Purchased] (5 years count of enterprise),Customers[Products_Purchased] (5 years count of starter_pack),Customers[Products_Purchased] (5 years most frequent),Customers[Products_Purchased] (5 years unique count),Customers[Products_Purchased] (latest),Employee_Count,Industry,Latitude,Longitude,Prediction_Point (Year),Prediction_Point (days from Product_Usage[Activity_Timestamp]) (180 days avg),Product_Usage (1 month count),Product_Usage (180 days count),Product_Usage[Activity_Type] (1 month most frequent),Product_Usage[Activity_Type] (1 month unique count),Product_Usage[Activity_Type] (180 days most frequent),Product_Usage[Activity_Type] (180 days unique count),Product_Usage[UserID] (1 month unique count),Product_Usage[UserID] (180 days unique count),Products_Purchased,State,Zip_Code,"duration(Renewal_Date, Customer_Since_Date)"
0.4275309413,0.0,0.0,0.0837262946,0.3387819262,0.0,0.3124496907,0.0,0.0,0.0,-0.081114285,0.0,0.0,0.0,0.0878555635,0.4445951647,0.0860944462,0.3099155971,0.0,-0.4423465632,0.0,0.0,0.2138354477,0.0,-1.2137611596,-0.9151073275,0.0,-1.1574283449,0.0,0.0,-1.104894622,-0.1946897953,-0.2695580788,0.5883019252,-0.0871807301,0.3272438675
0.0,-0.233276554,0.0,-0.1100513982,-0.4918105656,0.0,0.3050020043,-0.2052892108,0.1012860161,0.0,0.0,0.0,0.0,0.0,0.0,-0.3506796654,0.0,0.0,0.0,-0.4423465632,0.0,0.0,0.3108704277,0.0,-0.238089653,-0.4226903851,0.1900270103,-0.4053286539,0.1573870858,0.0,-0.0934233749,-0.1946897953,-0.2865567234,0.5883019252,-0.0886203514,0.1746440432
-0.245199536,0.0,0.0,-0.1890918357,0.3733210092,0.0899996321,-0.1847841856,0.3818770066,-0.1985486543,0.0,0.0,0.0,0.0,0.0,0.0878555635,-0.2167290844,0.0,-0.3227566732,0.0,-0.3387329578,0.0,0.089166941,0.3108704277,0.0,0.3039500883,0.0,0.0,0.3467710194,0.232905648,0.0,0.5134593926,-0.1946897953,0.0,-0.1196533059,-0.1297042405,0.0
0.0,0.0,0.0,-0.111406167,-0.2709186141,0.0870882947,0.3124496907,0.337350994,-0.1744375167,0.0,0.0,0.0,0.0,0.0,-0.1267819655,-0.1317458718,0.0,-0.189823829,0.0,-0.4423465632,0.0,0.089166941,0.2138354477,-0.0851939155,0.0871341825,0.0,0.1674716117,0.0960711283,0.232905648,0.0,-0.0934233749,-0.4238688931,0.0,0.5928985311,0.0,0.0
0.5991025678,0.0884244721,0.1745590952,0.0837262946,0.3380430986,0.0,0.3124496907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878555635,0.4445951647,0.0860944462,0.3099155971,0.1231115517,-0.3387329578,0.0,0.0,0.3108704277,0.0,-2.1894327591,-1.8076128983,0.0,-1.6588281623,0.0,0.0,-1.3071888938,0.0,0.2793533715,-0.2009473817,0.0,0.3272438675
-0.3375424861,0.0,-0.0863348609,0.0,0.0,0.0,0.3053711164,0.0,0.0,-0.1468688845,0.0868677401,0.1117089603,0.0,0.0,-0.3414194945,-0.1317458718,0.0,-0.3227566732,0.0,0.3505589349,0.0,0.0,0.2369884855,0.0,0.5207659942,0.1817657335,-0.6166592054,0.8481708544,0.0,0.0,0.7157536325,0.1490788514,-0.2695580788,-0.357655244,0.0,-0.3444027585
-0.1083962454,0.0,-0.0863348609,0.0,0.0985816377,0.0,0.3053711164,-0.1077721522,0.0,0.0,0.0868677401,0.0,0.0,0.0,-0.1267819655,-0.2167290844,-0.1660999759,0.0,0.0,0.3505589349,0.0,0.0,0.3398272301,-0.3888485628,0.412358018,0.2740938993,0.0,0.5974709106,0.0,0.1259267758,0.5134593926,0.6016332703,0.0,-0.357655244,0.0,-0.4355064664
0.4811470806,0.0,-0.182705789,0.0,0.3387819262,0.0,0.3124496907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4445951647,0.0,0.3099155971,-0.0896399742,0.4842724382,0.0,0.0,0.3108704277,0.0,-1.1053532454,-1.0997636765,0.1013430073,-0.9067284362,0.232905648,0.0,-0.7003061423,0.1490788514,-0.2695580788,-0.0930353564,-0.1011870776,0.3272438675
0.0,0.0921819901,0.0975526349,0.0,-0.2701797865,0.0917677058,0.3124496907,0.0,0.0,-0.1468688845,0.0,0.1117089603,0.0,0.0,0.0878555635,-0.2167290844,0.0,-0.3227566732,0.0,-0.4423465632,0.0,0.0,0.2138354477,-0.1438705945,0.0,0.0,0.1674716117,-0.4053286539,0.232905648,0.0,-0.2957176307,-0.1946897953,-0.2695580788,-0.4124698009,0.0,0.0
-0.3074873269,0.0,-0.1090324412,0.0,-0.3632936743,0.0993282328,-0.1847841856,0.0,0.0,0.0,0.0868677401,0.0,0.0,0.0,-0.1267819655,-0.3506796654,0.0,-0.189823829,-0.0969221695,0.0,0.0,0.0,0.3108704277,0.0,0.5207659942,0.2403648375,-0.6166592054,0.8481708544,0.0,0.0,0.7157536325,0.1490788514,0.2793533715,0.0,0.1764582556,-0.2499730923
